Compound  SmmetryNum  SymetGroup
Cl3Mo1  15  (C2/c)
Cl3Mo1  12  (C2/m)
Cl3Na1  62  (Pnma)
Cl3Pt1  148  (R-3)
Cl3Re1  166  (R-3m)
Cl3Rh1  12  (C2/m)
Cl3Ru1  59  (Pmmn)
Cl3Sb1  62  (Pnma)
Cl3Sc1  148  (R-3)
Cl3Tb1  176  (P63/m)
Cl3Tb1  63  (Cmcm)
Cl3Tc1  166  (R-3m)
Cl3Tc1  12  (C2/m)
Cl3Ti1  162  (P-31m)
Cl3Ti1  148  (R-3)
Cl3Ti1  149  (P312)
Cl3Ti1  12  (C2/m)
Cl3Ti1  15  (C2/c)
Cl3Tm1  167  (R-3c)
Cl3Zr1  162  (P-31m)
Cl4Ga2  52  (Pnna)
Cl4Ge1  14  (P21/c)
Cl4Hf1  13  (P2/c)
Cl4Nb1  12  (C2/m)
Cs2Se3  36  (Cmc21)
Cs2Se5  19  (P212121)
Cs2Te1  62  (Pnma)
Cs2Te2  55  (Pbam)
Cs2Te3  36  (Cmc21)
Cs2Te5  63  (Cmcm)
Cs3Sb1  225  (Fm-3m)
Cs4Sb2  62  (Pnma)
Cs4Sn4  142  (I41/acd)
Cs4Xe1  2  (P-1)
Cs5Te3  12  (C2/m)
Cu1Zr1  8  (Cm)
Cu2P20  2  (P-1)
Cu2Yb1  74  (Imma)
Cu5Tb1  216  (F-43m)
Cu7Hg6  160  (R3m)
Cu7Te4  156  (P3m1)
Cu9In4  215  (P-43m)
Dy1Ga3  166  (R-3m)
Dy1Ir2  227  (Fd-3m)
Dy1Ni3  166  (R-3m)
Dy1Pb3  221  (Pm-3m)
Dy1Sb2  21  (C222)
Dy1Sn3  38  (Amm2)
Er1Ge1  63  (Cmcm)
Ga2Ru1  70  (Fddd)
Ga2Se3  9  (Cc)
Ga2Te5  87  (I4/m)
Ga3Os1  136  (P42/mnm)
Ga3Rb1  119  (I-4m2)
Ga3Re1  136  (P42/mnm)
Ga3Ru1  136  (P42/mnm)
Ga3Ta5  140  (I4/mcm)
Ga5Ir3  118  (P-4n2)
Gd1Ge2  141  (I41/amd)
Gd1Pt2  227  (Fd-3m)
Gd1Sb2  21  (C222)
Gd1Sb2  64  (Cmce)
Gd1Si1  62  (Pnma)
Gd1Si2  141  (I41/amd)
Gd1Sn3  38  (Amm2)
Gd1Zn2  74  (Imma)
Gd2Pt1  62  (Pnma)
Gd2Se3  62  (Pnma)
Gd5Ge4  62  (Pnma)
Ge1La1  63  (Cmcm)
Ge1Li1  88  (I41/a)
Ge1Mg2  227  (Fd-3m)
Ge1Mg2  225  (Fm-3m)
Ge1Na1  14  (P21/c)
Hg1Te1  154  (P3221)
Hg2Na3  136  (P42/mnm)
Hg3Sr1  62  (Pnma)
Hg4Ni1  229  (Im-3m)
Hg4Pt1  229  (Im-3m)
Ho1Sn3  38  (Amm2)
Ho2Pt1  62  (Pnma)
I12Zr6  148  (R-3)
I14Ta6  64  (Cmce)
I16Mo6  14  (P21/c)
In1Mg3  166  (R-3m)
In1Na2  20  (C2221)
In1Sb1  59  (Pmmn)
In1Sb1  63  (Cmcm)
In1Sb1  216  (F-43m)
In1Sb1  186  (P63mc)
In1Sb1  25  (Pmm2)
In1Se1  194  (P63/mmc)
In1Se1  187  (P-6m2)
In1Se1  12  (C2/m)
In1Se1  160  (R3m)
In1Te1  140  (I4/mcm)
In2Ir1  70  (Fddd)
In2Se3  160  (R3m)
In2Se3  164  (P-3m1)
Mg2Si1  225  (Fm-3m)
Mg2Si1  4  (P21)
Mg2Si1  62  (Pnma)
Mg2Sn1  227  (Fd-3m)
Mg2Sn1  225  (Fm-3m)
Mg2Th1  227  (Fd-3m)
Mg2Xe1  139  (I4/mmm)
Mg3Sb2  206  (Ia-3)
Mg3Sb2  164  (P-3m1)
Mg3Xe1  129  (P4/nmm)
Mg9Sn5  146  (R3)
Mn1Sb1  216  (F-43m)
Mn2Ti1  194  (P63/mmc)
Mn2Zr1  194  (P63/mmc)
Mn4Si7  116  (P-4c2)
Mn5Si2  92  (P41212)
Mn6Si7  166  (R-3m)
Mo1Se2  160  (R3m)
Mo1Se2  194  (P63/mmc)
Mo1Si2  180  (P6222)
Mo1Te2  194  (P63/mmc)
Mo1Ti1  74  (Imma)
Mo4O11  62  (Pnma)
Mo4O11  14  (P21/c)
Mo4O11  33  (Pna21)
