Compound  SmmetryNum  SymetGroup
Ba1In2  74  (Imma)
Ba1Pb1  63  (Cmcm)
Ba1Pb3  166  (R-3m)
Ba1Pt2  227  (Fd-3m)
Ba1Sb2  11  (P21/m)
Ba1Sb3  12  (C2/m)
Ba1Si1  63  (Cmcm)
Ba1Si1  74  (Imma)
Ba1Si2  164  (P-3m1)
Ba1Si2  191  (P6/mmm)
Ba1Si2  139  (I4/mmm)
Ba1Si2  227  (Fd-3m)
Ba1Si5  65  (Cmmm)
Ba1Si6  63  (Cmcm)
Ba1Sn1  63  (Cmcm)
Ba1Sn2  164  (P-3m1)
Ba1Sn5  191  (P6/mmm)
Ba1Te1  221  (Pm-3m)
Ba1Tl4  12  (C2/m)
Ba1Zn2  74  (Imma)
Ba1Zn5  63  (Cmcm)
Ba2Bi1  139  (I4/mmm)
Ba2Ge1  62  (Pnma)
Ba2Hg1  139  (I4/mmm)
Ba2Pb1  62  (Pnma)
Ba2Sb1  139  (I4/mmm)
Ba2Si1  62  (Pnma)
Ba2Zn1  139  (I4/mmm)
Ba3Ge4  65  (Cmmm)
Ba3Ge5  63  (Cmcm)
Ba3Pb5  63  (Cmcm)
Ba3Sn5  63  (Cmcm)
